Number,Town,Taxpayers,Tax,Rural,Problem,A,B,C,D,E,F,G,H,I,J,K,L
1,Norwich,1423,749,0,0,1423,8540,8540,8538,9961,10673,11384,12807,10900,10900,9306,9306
2,Bristol,1166,479,0,0,1166,7000,7000,6525,7691,8274,8857,10023,8932,8932,7626,7626
3,Exeter,1019,441,0,0,1019,6300,6300,5467,6486,6995,7505,8524,7806,7505,6664,6408
4,Salisbury,799,411,0,0,799,5310,5310,4010,4809,5209,5608,6407,5664,5664,4691,4691
5,Canterbury,784,269,0,0,784,4700,4700,3916,4700,5092,5484,6268,5529,5529,4569,4569
6,Coventry,725,448,0,0,725,6000,6000,3554,4279,4642,5004,5729,5012,6563,4108,5379
7,Colchester,701,204,0,0,701,4210,4210,3410,4111,4462,4812,5513,4808,3989,3927,3258
8,Bury St Edmunds,645,180,0,0,645,3870,3870,3081,3726,4048,4371,5016,4346,4346,3523,3523
9,Lincoln,625,124,0,0,625,3760,3760,2966,3591,3903,4216,4841,4186,4186,3384,3384
10,Hereford,611,124,0,0,611,3670,3670,2886,3497,3802,4108,4719,4075,4075,3288,3288
11,Winchester ,596,86,0,0,596,3580,3580,2801,3397,3695,3993,4589,3957,3957,3187,3187
12,St Albans,580,95,0,0,580,3480,3480,2711,3291,3581,3871,4451,3833,3833,3080,3080
13,Shrewsbury,550,101,0,0,550,3300,3300,2545,3095,3370,3645,4195,3603,3603,2884,2884
14,Oxford,533,105,0,0,533,3250,3250,2452,2985,3252,3518,4051,3475,3475,2775,2775
15,Reading,531,223,0,0,531,3190,3190,2441,2972,3238,3503,4034,3460,4114,2762,3284
16,Cambridge,524,97,0,0,524,3300,3300,2403,2927,3189,3451,3975,3408,3615,2718,2883
17,Worcester,499,171,0,0,499,4100,4100,2269,2768,3018,3267,3766,3223,3223,2562,2562
18,Yarmouth,497,125,0,0,497,2980,2980,2258,2755,3004,3252,3749,3208,3430,2550,2726
19,Ipswich,484,282,0,0,484,2900,2900,2189,2673,2915,3157,3641,3113,3113,2470,2470
20,Northampton,474,91,0,0,474,2860,2860,2137,2611,2848,3085,3559,3041,3041,2410,2410
21,Southampton,450,101,0,0,450,2700,2700,2012,2462,2687,2912,3362,2868,2868,2266,2266
22,Leicester,427,107,0,0,427,2560,2560,1893,2320,2534,2747,3174,2706,2849,2131,2245
23,Newbury,414,121,0,0,414,2480,2480,1827,2241,2448,2655,3069,2614,2465,2056,1938
24,Lichfield,391,36,0,0,391,2350,2350,1712,2103,2298,2494,2885,2455,2455,1925,1925
25,Saffron Walden,380,61,0,0,380,2280,2280,1657,2037,2227,2417,2797,2379,2379,1863,1863
26,Hadleigh,311,109,0,0,311,1870,1870,1322,1633,1789,1944,2255,1914,1914,1487,1487
27,Plymouth,310,85,0,0,310,1860,1860,1318,1628,1783,1938,2248,1908,1908,1481,1481
28,Beccles,307,74,0,0,307,1840,1840,1303,1610,1764,1917,2224,1888,1888,1465,1465
29,Chichester,301,63,0,0,301,1810,1810,1275,1576,1726,1877,2178,1849,1849,1434,1434
30,Wymondham,287,45,0,0,287,1720,1720,1209,1496,1640,1783,2070,1757,1757,1360,1360
31,Basingstoke,284,67,0,0,284,1700,1700,1195,1479,1621,1763,2047,1737,1737,1345,1345
32,Windsor,267,94,0,0,267,1600,1600,1117,1384,1517,1651,1918,1627,1627,1257,1257
33,Alton,260,55,0,0,260,1560,1560,1085,1345,1475,1605,1865,1582,1582,1221,1221
34,Barking ,256,66,0,0,256,1540,1540,1066,1322,1450,1578,1834,1556,1556,1200,1200
35,Wisbech,252,44,0,0,252,1510,1510,1048,1300,1426,1552,1804,1530,1530,1180,1180
36,Ottery St Mary,250,79,0,0,250,1500,1500,1039,1289,1414,1539,1789,1517,1517,1170,1170
37,Spalding ,250,39,0,0,250,1500,1500,1039,1289,1414,1539,1789,1517,1517,1170,1170
38,Kingston-on-Thames,249,62,0,0,249,1490,1490,1034,1283,1408,1532,1781,1511,1511,1165,1165
39,Stamford,247,100,0,0,247,1850,1850,1025,1272,1396,1519,1766,1498,1498,1154,1154
40,Cullompton,245,60,0,0,245,1470,1470,1016,1261,1384,1506,1751,1485,1485,1144,1144
41,Marlborough,237,85,0,0,237,1420,1420,980,1217,1336,1454,1691,1434,1434,1104,1104
42,Colyton,236,63,0,0,236,1420,1420,976,1212,1330,1448,1684,1428,1428,1099,1099
43,Dunwich,235,40,0,0,235,1410,1410,971,1206,1324,1441,1676,1421,1421,1094,1094
44,Walsingham,232,58,0,0,232,1390,1390,958,1190,1306,1422,1654,1402,1607,1079,1236
45,Aylsham,231,34,0,0,231,1390,1390,953,1184,1300,1415,1646,1396,1396,1074,1074
46,Sudbury,231,61,0,0,231,1390,1390,953,1184,1300,1415,1646,1396,1353,1074,1041
47,Barnstaple,230,38,0,0,230,1380,1380,949,1179,1294,1409,1639,1389,1389,1069,1069
48,Totnes,220,144,0,0,220,,1320,904,1124,1234,1344,1564,1326,1326,1019,1019
49,Shaftesbury,213,60,0,0,213,1280,1280,873,1086,1192,1299,1512,1282,1282,984,984
50,Bath,212,45,0,0,212,3420,3420,868,1080,1186,1292,1504,1276,1276,979,979
51,Peterborough,212,44,0,0,212,1615,1615,868,1080,1186,1292,1504,1276,1276,979,979
52,Glastonbury,209,42,0,0,209,,1250,855,1064,1169,1273,1482,1257,1257,964,964
53,Ramsey,209,28,0,0,209,,1250,855,1064,1169,1273,1482,1257,1257,964,964
54,Lewes,207,43,0,0,207,,1240,846,1053,1157,1260,1467,1244,1244,954,954
55,Aylesbury,202,37,0,0,202,,1210,824,1026,1127,1228,1430,1213,1190,930,912
56,York,871,230,0,1,871,6920,6920,4470,5341,5777,6212,7083,6338,6915,5305,5789
57,Gloucester,466,134,0,1,466,3360,3360,2095,2561,2794,3027,3493,2983,2983,2362,2362
58,Rochester,437,59,0,1,437,2620,2620,1945,2382,2600,2819,3256,2776,2776,2190,2190
59,Ely,382,69,0,1,382,1800,1800,1667,2049,2240,2431,2813,2393,2393,1874,1874
60,Lynn,320,302,0,1,320,2000,2000,1365,1685,1845,2005,2325,1974,1974,1535,1535
61,Taunton,300,86,0,1,300,1800,1800,1270,1570,1720,1870,2170,1842,1842,1428,1428
62,Boston,295,111,0,1,295,1770,1770,1247,1542,1689,1837,2132,1809,1809,1402,1402
63,Nottingham,295,56,0,1,295,2220,2220,1247,1542,1689,1837,2132,1809,1809,1402,1402
64,Bodmin,285,37,0,1,285,1710,1710,1200,1485,1628,1770,2055,1744,1744,1350,1350
65,Hull,284,108,0,1,284,2130,2130,1195,1479,1621,1763,2047,1737,1737,1345,1345
66,Beverly,266,63,0,1,266,3000,3000,1112,1378,1511,1644,1910,1620,1620,1251,1251
67,Derby,232,32,0,1,232,,1390,958,1190,1306,1422,1654,1402,1402,1079,1079
68,Wells,221,61,0,1,221,2000,2000,908,1129,1240,1350,1571,1332,1332,1024,1024
69,Pontefract,181,15,1,1,181,2130,2130,733,914,1004,1095,1276,1082,1082,827,827
70,Selby,170,10,1,1,170,,1020,685,855,940,1025,1195,1014,1014,774,774
71,Manchester,163,32,1,1,163,,980,655,818,900,981,1144,970,970,740,740
72,Maidstone,480,169,1,0,480,2880,2880,2168,2648,2888,3128,3608,3084,3084,2446,2446
73,Crediton,433,74,1,0,433,2600,2600,1924,2357,2573,2790,3223,2748,2748,2166,2166
74,Huntingdon,433,82,1,0,433,2600,2600,1924,2357,2573,2790,3223,2748,2748,2166,2166
75,Tiverton,289,53,1,0,289,1730,1730,1219,1508,1652,1797,2086,1770,1770,1371,1371
76,Lavenham,199,180,1,0,199,,1190,811,1010,1110,1209,1408,1194,1095,915,839
77,Maldon,193,72,1,0,193,,1160,785,978,1074,1171,1364,1156,1156,886,886
78,St Neots,193,34,1,0,193,,1160,785,978,1074,1171,1364,1156,1156,886,886
79,Woodbridge,192,45,1,0,192,,1150,780,972,1068,1164,1356,1150,1150,881,881
80,Henley-on-Thames,191,41,1,0,191,,1150,776,967,1063,1158,1349,1144,1144,876,876
81,Wellingborough,188,30,1,0,188,,1130,763,951,1045,1139,1327,1125,1125,861,861
82,Croydon,185,37,1,0,185,,1110,750,935,1027,1120,1305,1107,1107,847,847
83,Modbury,179,50,1,0,179,,1070,724,903,992,1082,1261,1069,1069,818,818
84,Petworth,178,29,1,0,178,,1070,720,898,987,1076,1254,1063,1063,813,813
85,High Wycombe ,175,44,1,0,175,,1050,707,882,969,1057,1232,1044,1120,798,856
86,Holbeach,174,31,1,0,174,,1040,702,876,963,1050,1224,1038,1038,793,793
87,Torrington,173,19,1,0,173,,1040,698,871,957,1044,1217,1032,1032,789,789
88,Dorchester,171,77,1,0,171,,1030,689,860,946,1031,1202,1020,1020,779,779
89,Wolverhampton,168,27,1,0,168,,1010,676,844,928,1012,1180,1001,1001,764,764
90,Penryn,164,20,1,0,164,,980,659,823,905,987,1151,976,976,745,745
91,Oundle,164,34,1,0,164,,980,659,823,905,987,1151,976,976,745,745
92,Devizes ,158,50,1,0,158,,950,634,792,871,950,1108,940,940,717,717
93,Louth,151,38,1,0,151,,910,604,755,831,906,1057,897,897,683,683
